mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
14	14	55/2	55/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	174		articStaccatoAbove						
14	14	111/4	111/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	175		articStaccatoAbove						
14	14	26	26	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	176								
14	14	105/4	105/4	0.5		1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	177		articTenutoBelow						
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	178								
14	14	27	27	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	179		articStaccatoAbove						
14	14	55/2	55/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	180		articStaccatoBelow						
15	15	28	28	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	181								
15	15	113/4	113/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8	1/8	1	182		articTenutoAbove						
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	183								
15	15	29	29	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	184		articStaccatoAbove						
15	15	117/4	117/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	185		articStaccatoAbove						
15	15	59/2	59/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	186		articStaccatoAbove						
15	15	119/4	119/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	187		articStaccatoAbove						
15	15	28	28	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	188								
15	15	113/4	113/4	0.5		1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	189		articTenutoAbove						
15	15	115/4	115/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	190								
15	15	29	29	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	191								
15	15	59/2	59/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	192		articStaccatoAbove						
16	16	30	30	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	193								
16	16	121/4	121/4	0.08333333333333333		1/16	1/16	Chord	2/4	1	1	1/48	1/32	2/3	194							16	
16	16	91/3	91/3	0.08333333333333333		1/12	1/12	Chord	2/4	1	1	1/48	1/32	2/3	195							16	
16	16	365/12	365/12	0.08333333333333333		5/48	5/48	Chord	2/4	1	1	1/48	1/32	2/3	196							16	
16	16	61/2	61/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	197								
16	16	123/4	123/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	198		articStaccatoBelow						
